GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G26340","2011-2015","US",,,,,,,,,,,,,,,,"Houghton, MI Micro Area","26340",,,,,,,,,,,,,,,,,"31000US26340",,,"Houghton, MI Micro Area",94500,"Houghton, MI Micro Area",4207
"G26380","2011-2015","US",,,,,,,,,,,,,,,,"Houma-Thibodaux, LA Metro Area","26380",,,,,,,,,,,,,,,,,"31000US26380",,,"Houma-Thibodaux, LA Metro Area",135400,"Houma-Thibodaux, LA Metro Area",3306
"G26420","2011-2015","US",,,,,,,,,,,,,,,,"Houston-The Woodlands-Sugar Land, TX Metro Area","26420",,,,,,,,,,,,,,,,,"31000US26420",,,"Houston-The Woodlands-Sugar Land, TX Metro Area",149300,"Houston-The Woodlands-Sugar Land, TX Metro Area",729
"G26460","2011-2015","US",,,,,,,,,,,,,,,,"Hudson, NY Micro Area","26460",,,,,,,,,,,,,,,,,"31000US26460",,,"Hudson, NY Micro Area",222100,"Hudson, NY Micro Area",5074
"G26500","2011-2015","US",,,,,,,,,,,,,,,,"Huntingdon, PA Micro Area","26500",,,,,,,,,,,,,,,,,"31000US26500",,,"Huntingdon, PA Micro Area",119000,"Huntingdon, PA Micro Area",3047
"G26540","2011-2015","US",,,,,,,,,,,,,,,,"Huntington, IN Micro Area","26540",,,,,,,,,,,,,,,,,"31000US26540",,,"Huntington, IN Micro Area",99900,"Huntington, IN Micro Area",3612
"G26580","2011-2015","US",,,,,,,,,,,,,,,,"Huntington-Ashland, WV-KY-OH Metro Area","26580",,,,,,,,,,,,,,,,,"31000US26580",,,"Huntington-Ashland, WV-KY-OH Metro Area",105900,"Huntington-Ashland, WV-KY-OH Metro Area",1943
"G26620","2011-2015","US",,,,,,,,,,,,,,,,"Huntsville, AL Metro Area","26620",,,,,,,,,,,,,,,,,"31000US26620",,,"Huntsville, AL Metro Area",162800,"Huntsville, AL Metro Area",1939
"G26660","2011-2015","US",,,,,,,,,,,,,,,,"Huntsville, TX Micro Area","26660",,,,,,,,,,,,,,,,,"31000US26660",,,"Huntsville, TX Micro Area",104600,"Huntsville, TX Micro Area",5899
"G26700","2011-2015","US",,,,,,,,,,,,,,,,"Huron, SD Micro Area","26700",,,,,,,,,,,,,,,,,"31000US26700",,,"Huron, SD Micro Area",96500,"Huron, SD Micro Area",5280
