GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G43940","2006-2010","US",,,,,,,,,,,,,,,,"Spearfish, SD Micro Area","43940",,,,,,,,,,,,,,,,"31000US43940",,,"Spearfish, SD Micro Area",155100,"Spearfish, SD Micro Area",6804
"G43980","2006-2010","US",,,,,,,,,,,,,,,,"Spencer, IA Micro Area","43980",,,,,,,,,,,,,,,,"31000US43980",,,"Spencer, IA Micro Area",98500,"Spencer, IA Micro Area",4394
"G44020","2006-2010","US",,,,,,,,,,,,,,,,"Spirit Lake, IA Micro Area","44020",,,,,,,,,,,,,,,,"31000US44020",,,"Spirit Lake, IA Micro Area",153000,"Spirit Lake, IA Micro Area",7005
"G44060","2006-2010","US",,,,,,,,,,,,,,,,"Spokane, WA Metro Area","44060",,,,,,,,,,,,,,,,"31000US44060",,,"Spokane, WA Metro Area",187900,"Spokane, WA Metro Area",1790
"G44100","2006-2010","US",,,,,,,,,,,,,,,,"Springfield, IL Metro Area","44100",,,,,,,,,,,,,,,,"31000US44100",,,"Springfield, IL Metro Area",118600,"Springfield, IL Metro Area",1790
"G44140","2006-2010","US",,,,,,,,,,,,,,,,"Springfield, MA Metro Area","44140",,,,,,,,,,,,,,,,"31000US44140",,,"Springfield, MA Metro Area",218000,"Springfield, MA Metro Area",1453
"G44180","2006-2010","US",,,,,,,,,,,,,,,,"Springfield, MO Metro Area","44180",,,,,,,,,,,,,,,,"31000US44180",,,"Springfield, MO Metro Area",127600,"Springfield, MO Metro Area",1406
"G44220","2006-2010","US",,,,,,,,,,,,,,,,"Springfield, OH Metro Area","44220",,,,,,,,,,,,,,,,"31000US44220",,,"Springfield, OH Metro Area",109900,"Springfield, OH Metro Area",1670
"G44260","2006-2010","US",,,,,,,,,,,,,,,,"Starkville, MS Micro Area","44260",,,,,,,,,,,,,,,,"31000US44260",,,"Starkville, MS Micro Area",106900,"Starkville, MS Micro Area",7714
"G44300","2006-2010","US",,,,,,,,,,,,,,,,"State College, PA Metro Area","44300",,,,,,,,,,,,,,,,"31000US44300",,,"State College, PA Metro Area",175800,"State College, PA Metro Area",3798
